no,Nama,Alamat,Latitude,Longtitude,Kode_Pos,Luas,Kapasitas,Keterangan_Lantai,Kode_Wilayah_1,Kode_Wilayah_2,Link_Maps,Jenis_Bencana
1,BPBD Kabupaten Cilacap,"Jl. Swadaya No.20, Pendowo, Tambakreja, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah 53211",-7.734929,109.006075,533520,132,460,Lantai 2,3301710001,3301710,https://goo.gl/maps/Tnm3apt8MpzmmLBT8,Tsunami dan Banjir
2,SMP N 1 Cilacap,"Jl. Jend. Ahmad Yani No.15, Bonduren, Tambakreja, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah 53211",-7.7385152,109.0090731,531133,1491,970,Lantai 1 - 4,3301710001,3301710,https://goo.gl/maps/i24oddeWuwkEWkXk8,Tsunami dan Banjir
3,Politeknik Negeri Cilacap,"Jalan Dokter Soetomo No.1, Karangcengis, Sidakaya, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah 53212",-7.717469,109.019929,520717,5292,17640,Lantai 3 + Lantai 4,3301710003,3301710,https://goo.gl/maps/p5HrgBtcSsdHwb9f9,Tsunami dan Banjir
4,RSUD Cilacap,"Jl. Gatot Subroto No.28, Tambaksari, Sidanegara, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53223",-7.717244,109.015319,535233,0,600,Lantai 2,3301720004,3301720,https://goo.gl/maps/6JUzPHaD4HUbtRbPA,Tsunami dan Banjir
5,Akbid Graha Mandiri,"Jalan Dokter Soetomo No:4 - B, Sidakaya Dua, Sidakaya, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah 52530",-7.726977,109.015649,534908,560,1866,Lantai 2,3301710003,3301710,https://goo.gl/maps/nYuQczDHDnTscVZA7,Tsunami dan Banjir
6,Asrama Putri Stikes Al-Irsyad ,"Jl.kinibalu,Sidanegara, Cilacap Tengah, Wanasari, Sidanegara, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53212",-7.711226,109.020901,5253465,1700,5333,Lantai 2 + Lantai 3,3301720004,3301720,https://goo.gl/maps/fzFywA6bqkBDRjMX6,Tsunami dan Banjir
7,SD Al-Irsyad 01,"Jl. Jend. Sudirman No.56, Kandang Macan, Tegalreja, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah 53212",-7.727568,109.006065,535859,1221,4070,Lantai 2 + Lantai 3,3301710002,3301710,https://goo.gl/maps/sgqQ9Ss9btNiesuE8,Tsunami dan Banjir
8,Rusunawa,"Karangmulia, Tegalkamulyan, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah",-7.72616847635696,109.022174308152,533635,886,2953,Lantai 3,3301710005,3301710,https://goo.gl/maps/Qjjb4QFgs6UHPEmUA,Tsunami dan Banjir
9,AMN Cilacap,"Jl. Kendeng No.307, Rawapasung, Sidanegara, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53223",-7.70348513473806,109.020097978894,5070154,1344,4480,Lantai 2- Lantai 8,3301720004,3301720,https://g.page/EJHOBOY?share,Tsunami dan Banjir
10,RSI Fatimah,"Jl. Ir. H. Juanda No.20, Amiranom, Kebonmanis, Kec. Cilacap Utara, Kabupaten Cilacap, Jawa Tengah 53224",-7.69186711620594,109.025193046682,542396,490,1633,Lantai 2,3301730001,3301730,https://goo.gl/maps/KPCDiH2BYBcEJiwN7,Tsunami dan Banjir
